,ترش کردن,نفخ معده,سوء هاضمه,بزرگی شکم,حالت تهوع و استفراغ,سوزش در مری و سرمعده,دل درد,اسپاسم عضلات شکمی,تغییر در مدفوع (اسهال یا یبوست),بی حالی
sardi mede,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sang koliye,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
high pressure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
exema,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reflax mede,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
high cholesterol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lupus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aritmy ghalb,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
naresayi ghalb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
migren sard,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
saratan poost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sardi koliye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high triglycerides,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sharyanhaye kroneri,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
migren garm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
